store,order_id,city,state,shipping_charged,order_total,Clean_State
rbn,36682,,BO-T,15,262.0,Tarija
rbn,36686,,BO-B,15,194.99,Beni
rbn,36688,,BO-S,15,264.98,Santa Cruz
rbn,36691,,BO-S,0,289.99,Santa Cruz
rbn,36697,,BO-S,0,569.97,Santa Cruz
rbn,36699,,,0,59.99,Santa Cruz
rbn,36740,,BO-S,30,305.0,Santa Cruz
rbn,36749,,,0,207.0,Santa Cruz
rbn,36757,,,15,191.99,Santa Cruz
rbn,36776,,BO-O,20,247.0,Oruro
rbn,36777,,BO-L,15,290.0,La Paz
rbn,36780,,BO-L,15,242.0,La Paz
rbn,36781,,,15,134.98,Santa Cruz
rbn,36782,,,0,155.0,Santa Cruz
rbn,36788,,,0,356.98,Santa Cruz
rbn,36797,,,0,275.0,Santa Cruz
rbn,36802,,BO-C,15,274.99,Cochabamba
rbn,36804,,BO-L,15,284.99,La Paz
rbn,36800,,,0,147.0,Santa Cruz
rbn,36809,,BO-O,20,79.99,Oruro
rbn,36815,,,15,134.98,Santa Cruz
rbn,36824,,BO-C,15,299.99,Cochabamba
rbn,36823,,,15,154.99,Santa Cruz
rbn,36852,,BO-H,15,154.99,Chuquisaca
rbn,38233,,BO-H,15,210.0,Chuquisaca
rbn,38303,,BO-C,15,314.98,Cochabamba
rbn,38520,,BO-C,15,104.99,Cochabamba
rbn,38545,,BO-H,15,369.98,Chuquisaca
rbn,38549,,BO-H,15,152.0,Chuquisaca
rbn,38556,,BO-L,20,119.99,La Paz
rbn,38560,,BO-C,15,219.98,Cochabamba
rbn,38563,,BO-P,25,184.98,Potosí
rbn,38565,,BO-C,15,479.99,Cochabamba
rbn,38580,,BO-L,15,332.0,La Paz
rbn,38582,,BO-C,15,214.99,Cochabamba
rbn,38586,,BO-L,15,231.99,La Paz
rbn,38592,,BO-L,15,205.0,La Paz
rbn,38593,,BO-L,15,279.99,La Paz
rbn,38595,,BO-H,0,169.99,Chuquisaca
rbn,38598,,BO-L,15,274.98,La Paz
rbn,38600,,BO-L,15,144.99,La Paz
rbn,38604,,BO-L,15,209.99,La Paz
rbn,38606,,BO-C,0,941.96,Cochabamba
rbn,38607,,BO-H,15,114.99,Chuquisaca
rbn,38612,,BO-H,15,309.99,Chuquisaca
rbn,38614,,BO-H,15,110.0,Chuquisaca
rbn,38615,,BO-S,0,194.98,Santa Cruz
rbn,38898,,BO-B,15,399.98,Beni
rbn,38908,,BO-C,15,260.0,Cochabamba
rbn,38910,,BO-H,15,331.99,Chuquisaca
rbn,39049,,,15,144.98,Santa Cruz
rbn,39052,,BO-L,20,139.99,La Paz
rbn,39053,,BO-T,15,294.97,Tarija
rbn,39055,,,15,574.92,Santa Cruz
rbn,39056,,BO-L,15,74.99,La Paz
rbn,39058,,BO-L,15,154.98,La Paz
rbn,39060,,BO-C,15,227.99,Cochabamba
rbn,39062,,BO-C,15,160.0,Cochabamba
rbn,39066,,BO-O,20,79.99,Oruro
rbn,39134,Trinidad,BO-B,15,182.0,Beni
rbn,39292,,BO-L,15,313.59,La Paz
rbn,39303,,BO-O,20,159.98,Oruro
rbn,39304,,BO-C,15,69.99,Cochabamba
rbn,39309,,BO-C,15,202.99,Cochabamba
rbn,39312,,BO-L,15,154.98,La Paz
rbn,39354,,BO-C,15,190.99,Cochabamba
rbn,40124,,BO-H,15,150.0,Chuquisaca
rbn,40129,,BO-T,15,104.99,Tarija
rbn,40136,,BO-L,15,142.99,La Paz
rbn,40137,,,0,89.99,Santa Cruz
rbn,40141,Villamontes,BO-T,35,104.99,Tarija
rbn,40144,,,0,114.4,Santa Cruz
rbn,40884,,,25,304.98,Santa Cruz
rbn,40892,,,0,224.99,Santa Cruz
rbn,40894,,BO-L,15,194.97,La Paz
rbn,40947,,,15,227.99,Santa Cruz
rbn,41628,,BO-H,15,301.0,Chuquisaca
rbn,41633,,BO-S,0,50.0,Santa Cruz
rbn,42150,,BO-C,0,157.0,Cochabamba
rbn,42345,Sucre,BO-H,15,214.98,Chuquisaca
rbn,42350,,BO-O,20,503.99,Oruro
rbn,42365,,,15,74.99,Santa Cruz
rbn,42863,,BO-L,0,566.98,La Paz
rbn,43777,,BO-B,15,74.99,Beni
rbn,44439,,BO-C,15,674.96,Cochabamba
rbn,44481,,BO-S,15,828.98,Santa Cruz
rbn,44483,,BO-N,25,321.99,Pando
rbn,45108,Trinidad,BO-B,15,182.0,Beni
rbn,45441,,BO-L,15,174.98,La Paz
rbn,45457,,,15,144.98,Santa Cruz
rbn,45459,,,15,301.99,Santa Cruz
rbn,45461,Cobija,BO-N,25,84.99,Pando
rbn,45462,,BO-L,15,134.98,La Paz
rbn,45650,,,0,139.99,Santa Cruz
rbn,45652,,,20,179.99,Santa Cruz
rbn,45654,,BO-L,15,182.0,La Paz
rbn,45656,,BO-L,15,144.99,La Paz
rbn,45693,,,0,139.99,Santa Cruz
rbn,45773,,BO-S,25,114.99,Santa Cruz
rbn,45780,,BO-S,0,167.0,Santa Cruz
rbn,45782,,BO-C,15,281.99,Cochabamba
rbn,45789,,BO-S,0,159.98,Santa Cruz
rbn,45806,,BO-H,15,144.99,Chuquisaca
rbn,45810,,BO-L,15,152.0,La Paz
rbn,45811,,BO-L,15,74.99,La Paz
rbn,45858,,,15,160.0,Santa Cruz
rbn,45859,,BO-C,15,94.99,Cochabamba
rbn,45860,,BO-T,15,174.99,Tarija
rbn,45894,,BO-L,15,99.99,La Paz
rbn,45934,,BO-L,15,134.98,La Paz
rbn,45937,,,0,129.98,Santa Cruz
rbn,45946,,BO-S,20,159.99,Santa Cruz
rbn,45947,,BO-S,25,164.99,Santa Cruz
rbn,45950,,,15,74.99,Santa Cruz
rbn,45951,,BO-C,15,129.98,Cochabamba
rbn,45954,,BO-H,15,174.99,Chuquisaca
rbn,45962,,BO-L,15,174.99,La Paz
rbn,45965,,BO-O,20,109.99,Oruro
rbn,45966,,BO-L,15,180.0,La Paz
rbn,45968,,BO-C,15,324.97,Cochabamba
rbn,45969,,BO-C,15,185.0,Cochabamba
rbn,45977,,,0,89.99,Santa Cruz
rbn,45980,,BO-C,15,152.0,Cochabamba
rbn,45986,,,0,165.0,Santa Cruz
rbn,45996,,BO-L,15,84.99,La Paz
rbn,46191,,BO-S,15,180.0,Santa Cruz
rbn,46197,,BO-B,15,264.98,Beni
rbn,46198,,BO-C,0,391.98,Cochabamba
rbn,46199,,BO-P,25,129.99,Potosí
rbn,46204,,BO-L,15,174.99,La Paz
rbn,46205,Trinidad,BO-B,15,209.99,Beni
rbn,46207,,,0,59.99,Santa Cruz
rbn,46223,,BO-T,0,384.99,Tarija
rbn,46303,,BO-H,15,179.99,Chuquisaca
rbn,46313,,BO-O,20,119.99,Oruro
rbn,46315,,BO-C,15,114.99,Cochabamba
rbn,46347,,BO-S,15,144.98,Santa Cruz
rbn,46348,,BO-S,15,64.99,Santa Cruz
rbn,46353,,BO-S,15,114.98,Santa Cruz
rbn,46354,,BO-C,10,159.97,Cochabamba
rbn,46355,,BO-H,15,74.99,Chuquisaca
rbn,46357,,BO-C,15,184.97,Cochabamba
rbn,46359,,BO-O,20,89.99,Oruro
rbn,46360,,BO-C,20,119.98,Cochabamba
rbn,46364,,BO-S,0,439.98,Santa Cruz
rbn,46365,,BO-O,20,169.97,Oruro
rbn,46367,,BO-L,15,64.99,La Paz
rbn,47772,,BO-S,25,410.0,Santa Cruz
rbn,58451,La Paz,,15,174.99,La Paz
rbn,58453,SUCRE,,15,194.99,Santa Cruz
victus,8368,,BO-S,0,169.98,Santa Cruz
victus,8369,,BO-S,0,59.99,Santa Cruz
victus,8372,,BO-S,0,119.98,Santa Cruz
victus,8409,,,0,129.99,Santa Cruz
victus,9081,,BO-S,0,129.99,Santa Cruz
